id,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kategori_pelanggaran,tahun,latitude_kecamatan,longitude_kecamatan,latitude_desa,longitude_desa
1,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020,-6.9,107.6,-6.92322,107.65993
2,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020,-6.9,107.6,-6.92322,107.65993
3,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020,-6.9,107.6,-6.92322,107.65993
4,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020,-6.9,107.6,-6.92322,107.65993
5,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN YANG MENIMBULKAN LUKA PARAH,2020,-6.9,107.6,-6.92322,107.65993
6,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
7,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
8,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
9,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
10,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
11,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
12,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
13,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
14,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
15,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
16,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020,-6.9,107.6,-6.92322,107.65993
17,3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENCURIAN,2020,-6.9,107.6,-6.910528,107.65627
18,3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENCURIAN,2020,-6.9,107.6,-6.910528,107.65627
19,3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENJAMBRETAN,2020,-6.9,107.6,-6.910528,107.65627
1,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN,2018,-6.91,107.61,-6.904595,107.690644
2,3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018,-6.91,107.61,-6.910681,107.697679
